,WorkerId,HumanCondition,FeedbackCondition,GoodCondition,Topic,SelfAssessment,OtherAssessment,TruePerformance,OtherPerformance,Round
126,AD15OW944ZV20,True,True,False,1,5,5,6,5,4
127,AD15OW944ZV20,True,True,False,2,10,7,9,4,4
128,AOS2PVHT2HYTL,True,True,False,3,4,6,7,3,1
129,AOS2PVHT2HYTL,True,True,False,2,7,6,6,6,1
130,AOS2PVHT2HYTL,True,True,False,4,10,6,9,5,1
131,AOS2PVHT2HYTL,True,True,False,1,2,1,6,4,1
132,AOS2PVHT2HYTL,True,True,False,3,7,5,7,3,2
133,AOS2PVHT2HYTL,True,True,False,2,5,7,7,7,2
134,AOS2PVHT2HYTL,True,True,False,4,10,5,11,6,2
135,AOS2PVHT2HYTL,True,True,False,1,3,2,7,4,2
136,AOS2PVHT2HYTL,True,True,False,3,7,6,9,4,3
137,AOS2PVHT2HYTL,True,True,False,2,3,5,4,6,3
138,AOS2PVHT2HYTL,True,True,False,4,11,10,10,3,3
139,AOS2PVHT2HYTL,True,True,False,1,3,2,3,3,3
140,AOS2PVHT2HYTL,True,True,False,3,7,4,10,6,4
141,AOS2PVHT2HYTL,True,True,False,2,3,5,5,7,4
142,AOS2PVHT2HYTL,True,True,False,4,11,4,11,1,4
143,AOS2PVHT2HYTL,True,True,False,1,4,5,5,3,4
144,A26M997VYVK0E6,False,False,True,2,10,8,9,8,1
145,A26M997VYVK0E6,False,False,True,4,8,8,8,11,1
146,A26M997VYVK0E6,False,False,True,1,5,11,1,10,1
147,A26M997VYVK0E6,False,False,True,3,4,9,6,9,1
148,A26M997VYVK0E6,False,False,True,2,10,12,11,11,2
149,A26M997VYVK0E6,False,False,True,4,9,11,9,10,2
150,A26M997VYVK0E6,False,False,True,1,2,10,7,10,2
151,A26M997VYVK0E6,False,False,True,3,8,10,7,10,2
152,A26M997VYVK0E6,False,False,True,2,7,11,10,10,3
153,A26M997VYVK0E6,False,False,True,4,8,5,3,11,3
154,A26M997VYVK0E6,False,False,True,1,6,10,3,9,3
155,A26M997VYVK0E6,False,False,True,3,5,10,5,6,3
156,A26M997VYVK0E6,False,False,True,2,5,9,8,6,4
157,A26M997VYVK0E6,False,False,True,4,5,10,8,11,4
158,A26M997VYVK0E6,False,False,True,1,8,12,5,8,4
159,A26M997VYVK0E6,False,False,True,3,8,2,5,9,4
160,AM8HWCZFGT1O5,False,False,True,2,11,6,11,10,1
161,AM8HWCZFGT1O5,False,False,True,4,7,6,8,11,1
162,AM8HWCZFGT1O5,False,False,True,3,4,6,3,10,1
163,AM8HWCZFGT1O5,False,False,True,1,4,6,5,10,1
164,AM8HWCZFGT1O5,False,False,True,2,12,6,10,8,2
165,AM8HWCZFGT1O5,False,False,True,4,9,7,11,11,2
166,AM8HWCZFGT1O5,False,False,True,3,2,6,4,9,2
167,AM8HWCZFGT1O5,False,False,True,1,3,6,2,9,2
168,AM8HWCZFGT1O5,False,False,True,2,10,6,9,6,3
169,AM8HWCZFGT1O5,False,False,True,4,10,7,12,10,3
170,AM8HWCZFGT1O5,False,False,True,3,6,6,5,9,3
171,AM8HWCZFGT1O5,False,False,True,1,4,6,8,8,3
172,AM8HWCZFGT1O5,False,False,True,2,10,6,9,11,4
173,AM8HWCZFGT1O5,False,False,True,4,8,6,10,11,4
174,AM8HWCZFGT1O5,False,False,True,3,3,6,8,6,4
175,AM8HWCZFGT1O5,False,False,True,1,4,6,7,10,4
176,A2541C8MY0BYV3,False,False,True,1,4,9,2,9,1
177,A2541C8MY0BYV3,False,False,True,3,2,10,2,6,1
178,A2541C8MY0BYV3,False,False,True,2,12,12,9,6,1
179,A2541C8MY0BYV3,False,False,True,4,9,11,11,10,1
180,A2541C8MY0BYV3,False,False,True,1,3,11,4,10,2
181,A2541C8MY0BYV3,False,False,True,3,4,10,3,9,2
182,A2541C8MY0BYV3,False,False,True,2,5,10,6,10,2
183,A2541C8MY0BYV3,False,False,True,4,5,12,7,11,2
184,A2541C8MY0BYV3,False,False,True,1,2,12,4,8,3
185,A2541C8MY0BYV3,False,False,True,3,4,12,4,10,3
186,A2541C8MY0BYV3,False,False,True,2,8,10,9,8,3
187,A2541C8MY0BYV3,False,False,True,4,5,11,8,11,3
188,A2541C8MY0BYV3,False,False,True,1,2,12,4,10,4
189,A2541C8MY0BYV3,False,False,True,3,3,11,4,9,4
190,A2541C8MY0BYV3,False,False,True,2,7,12,7,11,4
191,A2541C8MY0BYV3,False,False,True,4,2,12,4,11,4
192,A4T4577P6JL6R,True,True,True,1,3,7,6,6,1
193,A4T4577P6JL6R,True,True,True,2,10,10,12,9,1
194,A4T4577P6JL6R,True,True,True,3,7,9,6,9,1
195,A4T4577P6JL6R,True,True,True,4,7,10,9,12,1
196,A4T4577P6JL6R,True,True,True,1,8,7,4,9,2
197,A4T4577P6JL6R,True,True,True,2,10,6,11,7,2
198,A4T4577P6JL6R,True,True,True,3,5,9,7,8,2
199,A4T4577P6JL6R,True,True,True,4,6,10,7,12,2
200,A4T4577P6JL6R,True,True,True,1,8,7,8,10,3
201,A4T4577P6JL6R,True,True,True,2,10,7,10,7,3
202,A4T4577P6JL6R,True,True,True,3,7,10,6,9,3
203,A4T4577P6JL6R,True,True,True,4,7,10,10,11,3
204,A4T4577P6JL6R,True,True,True,1,8,6,10,11,4
205,A4T4577P6JL6R,True,True,True,2,11,8,12,7,4
206,A4T4577P6JL6R,True,True,True,3,7,10,3,9,4
207,A4T4577P6JL6R,True,True,True,4,6,11,9,11,4
208,A16G6PPH1INQL8,True,True,True,4,10,9,10,12,1
209,A16G6PPH1INQL8,True,True,True,2,6,8,8,8,1
210,A16G6PPH1INQL8,True,True,True,1,3,6,5,9,1
211,A16G6PPH1INQL8,True,True,True,3,4,8,7,10,1
212,A16G6PPH1INQL8,True,True,True,4,11,12,12,10,2
213,A16G6PPH1INQL8,True,True,True,2,11,9,8,9,2
214,A16G6PPH1INQL8,True,True,True,1,11,10,9,10,2
215,A16G6PPH1INQL8,True,True,True,3,8,10,7,8,2
216,A16G6PPH1INQL8,True,True,True,4,11,12,8,12,3
217,A16G6PPH1INQL8,True,True,True,2,8,7,6,9,3
218,A16G6PPH1INQL8,True,True,True,1,7,9,6,10,3
219,A16G6PPH1INQL8,True,True,True,3,8,9,5,10,3
220,A16G6PPH1INQL8,True,True,True,4,9,12,9,10,4
221,A16G6PPH1INQL8,True,True,True,2,7,8,8,9,4
222,A16G6PPH1INQL8,True,True,True,1,9,8,4,10,4
223,A16G6PPH1INQL8,True,True,True,3,6,9,4,6,4
224,A2X61UU59X8JLY,True,True,True,2,8,9,9,7,1
225,A2X61UU59X8JLY,True,True,True,3,7,6,2,9,1
226,A2X61UU59X8JLY,True,True,True,4,7,8,7,11,1
227,A2X61UU59X8JLY,True,True,True,1,5,7,3,10,1
228,A2X61UU59X8JLY,True,True,True,2,7,6,3,7,2
229,A2X61UU59X8JLY,True,True,True,3,7,6,5,9,2
230,A2X61UU59X8JLY,True,True,True,4,7,6,2,11,2
231,A2X61UU59X8JLY,True,True,True,1,6,10,1,9,2
232,A2X61UU59X8JLY,True,True,True,2,6,5,3,9,3
233,A2X61UU59X8JLY,True,True,True,3,6,5,4,9,3
234,A2X61UU59X8JLY,True,True,True,4,10,8,3,12,3
235,A2X61UU59X8JLY,True,True,True,1,5,6,4,6,3
236,A2X61UU59X8JLY,True,True,True,2,6,7,4,7,4
237,A2X61UU59X8JLY,True,True,True,3,9,9,1,8,4
238,A2X61UU59X8JLY,True,True,True,4,9,8,4,12,4
239,A2X61UU59X8JLY,True,True,True,1,9,6,4,11,4
240,AN4P0SU1YSPF2,False,True,True,1,3,8,7,8,1
241,AN4P0SU1YSPF2,False,True,True,3,6,9,12,9,1
242,AN4P0SU1YSPF2,False,True,True,2,2,7,7,8,1
243,AN4P0SU1YSPF2,False,True,True,4,5,11,6,11,1
244,AN4P0SU1YSPF2,False,True,True,1,5,8,6,9,2
245,AN4P0SU1YSPF2,False,True,True,3,3,6,10,10,2
246,AN4P0SU1YSPF2,False,True,True,2,3,5,4,10,2
247,AN4P0SU1YSPF2,False,True,True,4,4,11,10,10,2
248,AN4P0SU1YSPF2,False,True,True,1,4,9,9,10,3
249,AN4P0SU1YSPF2,False,True,True,3,9,11,7,9,3
250,AN4P0SU1YSPF2,False,True,True,2,5,9,8,11,3
251,AN4P0SU1YSPF2,False,True,True,4,6,11,8,11,3
252,AN4P0SU1YSPF2,False,True,True,1,6,8,7,10,4
253,AN4P0SU1YSPF2,False,True,True,3,7,9,7,6,4
254,AN4P0SU1YSPF2,False,True,True,2,3,7,6,6,4
255,AN4P0SU1YSPF2,False,True,True,4,7,11,9,11,4
256,A9500TJQDB94E,False,True,True,2,5,6,5,6,1
257,A9500TJQDB94E,False,True,True,4,6,10,6,11,1
258,A9500TJQDB94E,False,True,True,1,3,8,3,8,1
259,A9500TJQDB94E,False,True,True,3,2,6,2,6,1
260,A9500TJQDB94E,False,True,True,2,3,11,3,10,2
261,A9500TJQDB94E,False,True,True,4,8,11,8,10,2
262,A9500TJQDB94E,False,True,True,1,5,10,5,10,2
263,A9500TJQDB94E,False,True,True,3,3,10,3,10,2
264,A9500TJQDB94E,False,True,True,2,3,10,3,8,3
265,A9500TJQDB94E,False,True,True,4,4,11,4,11,3
266,A9500TJQDB94E,False,True,True,1,2,10,2,10,3
267,A9500TJQDB94E,False,True,True,3,2,9,2,9,3
268,A9500TJQDB94E,False,True,True,2,3,8,3,11,4
269,A9500TJQDB94E,False,True,True,4,10,11,10,11,4
270,A9500TJQDB94E,False,True,True,1,5,9,5,9,4
271,A9500TJQDB94E,False,True,True,3,5,9,5,9,4
272,A1AMGHYG5PT0L2,False,True,True,2,9,7,6,6,1
273,A1AMGHYG5PT0L2,False,True,True,1,3,7,7,10,1
274,A1AMGHYG5PT0L2,False,True,True,4,4,11,8,11,1
275,A1AMGHYG5PT0L2,False,True,True,3,1,11,7,9,1
276,A1AMGHYG5PT0L2,False,True,True,2,7,9,10,8,2
277,A1AMGHYG5PT0L2,False,True,True,1,2,8,6,8,2
278,A1AMGHYG5PT0L2,False,True,True,4,11,7,11,10,2
279,A1AMGHYG5PT0L2,False,True,True,3,4,8,5,10,2
280,A1AMGHYG5PT0L2,False,True,True,2,6,8,9,10,3
281,A1AMGHYG5PT0L2,False,True,True,1,3,10,10,10,3
282,A1AMGHYG5PT0L2,False,True,True,4,2,5,7,11,3
283,A1AMGHYG5PT0L2,False,True,True,3,4,7,7,6,3
284,A1AMGHYG5PT0L2,False,True,True,2,5,9,8,11,4
285,A1AMGHYG5PT0L2,False,True,True,1,3,9,6,9,4
286,A1AMGHYG5PT0L2,False,True,True,4,4,7,6,11,4
287,A1AMGHYG5PT0L2,False,True,True,3,5,8,8,9,4
288,A2HQCNE6V8EGKC,True,False,True,4,4,8,9,11,1
289,A2HQCNE6V8EGKC,True,False,True,2,7,5,11,9,1
290,A2HQCNE6V8EGKC,True,False,True,3,3,9,2,8,1
291,A2HQCNE6V8EGKC,True,False,True,1,2,6,4,8,1
292,A2HQCNE6V8EGKC,True,False,True,4,7,9,7,10,2
293,A2HQCNE6V8EGKC,True,False,True,2,7,3,8,11,2
294,A2HQCNE6V8EGKC,True,False,True,3,7,6,7,9,2
295,A2HQCNE6V8EGKC,True,False,True,1,2,5,4,10,2
296,A2HQCNE6V8EGKC,True,False,True,4,4,6,4,12,3
297,A2HQCNE6V8EGKC,True,False,True,2,8,7,9,10,3
298,A2HQCNE6V8EGKC,True,False,True,3,1,7,8,10,3
299,A2HQCNE6V8EGKC,True,False,True,1,0,0,3,7,3
300,A2HQCNE6V8EGKC,True,False,True,4,3,6,6,11,4
301,A2HQCNE6V8EGKC,True,False,True,2,10,4,9,7,4
302,A2HQCNE6V8EGKC,True,False,True,3,5,3,4,7,4
303,A2HQCNE6V8EGKC,True,False,True,1,2,4,5,11,4
304,A3OLY20VMA8SPJ,True,False,True,4,8,7,9,11,1
305,A3OLY20VMA8SPJ,True,False,True,3,7,6,8,9,1
306,A3OLY20VMA8SPJ,True,False,True,1,4,3,2,10,1
307,A3OLY20VMA8SPJ,True,False,True,2,3,4,3,7,1
308,A3OLY20VMA8SPJ,True,False,True,4,4,3,6,11,2
309,A3OLY20VMA8SPJ,True,False,True,3,3,3,3,9,2
310,A3OLY20VMA8SPJ,True,False,True,1,3,4,5,9,2
311,A3OLY20VMA8SPJ,True,False,True,2,3,2,3,7,2
312,A3OLY20VMA8SPJ,True,False,True,4,3,2,0,12,3
313,A3OLY20VMA8SPJ,True,False,True,3,3,2,2,8,3
314,A3OLY20VMA8SPJ,True,False,True,1,3,2,4,6,3
315,A3OLY20VMA8SPJ,True,False,True,2,2,3,1,9,3
316,A3OLY20VMA8SPJ,True,False,True,4,3,2,2,12,4
317,A3OLY20VMA8SPJ,True,False,True,3,2,3,2,9,4
318,A3OLY20VMA8SPJ,True,False,True,1,3,2,1,11,4
319,A3OLY20VMA8SPJ,True,False,True,2,3,2,2,7,4
320,A3QK8YZIOP3LFB,True,False,True,1,10,7,4,9,1
321,A3QK8YZIOP3LFB,True,False,True,3,7,10,3,9,1
322,A3QK8YZIOP3LFB,True,False,True,2,10,7,3,7,1
323,A3QK8YZIOP3LFB,True,False,True,4,10,7,5,12,1
324,A3QK8YZIOP3LFB,True,False,True,1,10,8,2,11,2
325,A3QK8YZIOP3LFB,True,False,True,3,10,7,2,9,2
326,A3QK8YZIOP3LFB,True,False,True,2,10,8,4,7,2
327,A3QK8YZIOP3LFB,True,False,True,4,10,8,8,11,2
328,A3QK8YZIOP3LFB,True,False,True,1,11,7,1,10,3
329,A3QK8YZIOP3LFB,True,False,True,3,10,10,6,8,3
330,A3QK8YZIOP3LFB,True,False,True,2,11,10,4,7,3
331,A3QK8YZIOP3LFB,True,False,True,4,10,10,10,11,3
332,A3QK8YZIOP3LFB,True,False,True,1,10,10,3,6,4
333,A3QK8YZIOP3LFB,True,False,True,3,10,10,1,9,4
334,A3QK8YZIOP3LFB,True,False,True,2,9,9,5,9,4
335,A3QK8YZIOP3LFB,True,False,True,4,9,8,4,12,4
336,AXCLQH9YMMHAI,False,True,False,1,2,2,2,2,1
337,AXCLQH9YMMHAI,False,True,False,3,2,4,2,4,1
338,AXCLQH9YMMHAI,False,True,False,4,5,7,5,5,1
339,AXCLQH9YMMHAI,False,True,False,2,4,4,4,4,1
340,AXCLQH9YMMHAI,False,True,False,1,1,3,1,3,2
341,AXCLQH9YMMHAI,False,True,False,3,3,3,3,3,2
342,AXCLQH9YMMHAI,False,True,False,4,10,5,10,9,2
343,AXCLQH9YMMHAI,False,True,False,2,2,7,2,6,2
344,AXCLQH9YMMHAI,False,True,False,1,2,4,2,4,3
345,AXCLQH9YMMHAI,False,True,False,3,4,5,4,3,3
346,AXCLQH9YMMHAI,False,True,False,4,6,9,6,7,3
347,AXCLQH9YMMHAI,False,True,False,2,3,8,3,7,3
348,AXCLQH9YMMHAI,False,True,False,1,2,5,2,5,4
349,AXCLQH9YMMHAI,False,True,False,3,6,3,6,5,4
350,AXCLQH9YMMHAI,False,True,False,4,3,9,3,9,4
351,AXCLQH9YMMHAI,False,True,False,2,11,12,3,8,4
352,A16G7P6Q88WPHP,False,True,False,2,9,6,9,8,1
353,A16G7P6Q88WPHP,False,True,False,3,8,3,8,3,1
354,A16G7P6Q88WPHP,False,True,False,4,8,5,8,9,1
355,A16G7P6Q88WPHP,False,True,False,1,5,5,5,5,1
356,A16G7P6Q88WPHP,False,True,False,2,2,4,2,4,2
357,A16G7P6Q88WPHP,False,True,False,3,7,3,7,5,2
358,A16G7P6Q88WPHP,False,True,False,4,6,7,6,5,2
359,A16G7P6Q88WPHP,False,True,False,1,1,3,1,3,2
360,A16G7P6Q88WPHP,False,True,False,2,2,7,2,6,3
361,A16G7P6Q88WPHP,False,True,False,3,3,4,3,4,3
362,A16G7P6Q88WPHP,False,True,False,4,5,9,5,7,3
363,A16G7P6Q88WPHP,False,True,False,1,4,2,4,2,3
364,A16G7P6Q88WPHP,False,True,False,2,1,8,1,7,4
365,A16G7P6Q88WPHP,False,True,False,3,4,5,4,3,4
366,A16G7P6Q88WPHP,False,True,False,4,8,9,8,9,4
367,A16G7P6Q88WPHP,False,True,False,1,4,4,4,4,4
368,A3I5MGK4AFCJ7,False,True,False,4,10,5,10,9,1
369,A3I5MGK4AFCJ7,False,True,False,1,6,5,6,5,1
370,A3I5MGK4AFCJ7,False,True,False,3,5,3,5,3,1
371,A3I5MGK4AFCJ7,False,True,False,2,5,8,5,7,1
372,A3I5MGK4AFCJ7,False,True,False,4,5,9,5,9,2
373,A3I5MGK4AFCJ7,False,True,False,1,5,4,5,4,2
374,A3I5MGK4AFCJ7,False,True,False,3,4,3,4,5,2
375,A3I5MGK4AFCJ7,False,True,False,2,2,4,2,4,2
376,A3I5MGK4AFCJ7,False,True,False,4,7,7,7,5,3
377,A3I5MGK4AFCJ7,False,True,False,1,2,2,2,2,3
378,A3I5MGK4AFCJ7,False,True,False,3,2,5,2,3,3
379,A3I5MGK4AFCJ7,False,True,False,2,3,6,3,8,3
380,A3I5MGK4AFCJ7,False,True,False,4,3,9,3,7,4
381,A3I5MGK4AFCJ7,False,True,False,1,2,3,2,3,4
382,A3I5MGK4AFCJ7,False,True,False,3,4,4,4,4,4
383,A3I5MGK4AFCJ7,False,True,False,2,4,7,4,6,4
384,ALX2L5QP3MSF6,True,True,False,2,0,7,0,4,1
385,ALX2L5QP3MSF6,True,True,False,1,4,6,4,6,1
386,ALX2L5QP3MSF6,True,True,False,3,4,1,4,2,1
387,ALX2L5QP3MSF6,True,True,False,4,2,5,2,6,1
388,ALX2L5QP3MSF6,True,True,False,2,3,4,3,7,2
389,ALX2L5QP3MSF6,True,True,False,1,2,5,2,5,2
390,ALX2L5QP3MSF6,True,True,False,3,4,2,4,1,2
391,ALX2L5QP3MSF6,True,True,False,4,6,9,7,10,2
392,ALX2L5QP3MSF6,True,True,False,2,3,4,3,4,3
393,ALX2L5QP3MSF6,True,True,False,1,6,10,6,3,3
394,ALX2L5QP3MSF6,True,True,False,3,6,3,6,3,3
395,ALX2L5QP3MSF6,True,True,False,4,7,10,9,5,3
396,ALX2L5QP3MSF6,True,True,False,2,4,7,4,7,4
397,ALX2L5QP3MSF6,True,True,False,1,5,5,5,5,4
398,ALX2L5QP3MSF6,True,True,False,3,8,9,3,4,4
399,ALX2L5QP3MSF6,True,True,False,4,9,9,3,8,4
400,A1WZY0K6IE3ASG,True,True,False,2,9,9,9,6,1
401,A1WZY0K6IE3ASG,True,True,False,3,5,5,6,4,1
402,A1WZY0K6IE3ASG,True,True,False,1,5,3,8,2,1
403,A1WZY0K6IE3ASG,True,True,False,4,10,8,11,10,1
404,A1WZY0K6IE3ASG,True,True,False,2,11,9,10,4,2
405,A1WZY0K6IE3ASG,True,True,False,3,6,4,5,5,2
406,A1WZY0K6IE3ASG,True,True,False,1,6,5,10,2,2
407,A1WZY0K6IE3ASG,True,True,False,4,9,7,10,8,2
408,A1WZY0K6IE3ASG,True,True,False,2,11,9,10,6,3
409,A1WZY0K6IE3ASG,True,True,False,3,8,5,7,6,3
410,A1WZY0K6IE3ASG,True,True,False,1,6,5,5,3,3
