,QID,SID,SUBCATEGORY,QUESTION,CORRECT,INCORRECT1,INCORRECT2,INCORRECT3
30,835,28,Sport - US - Basketball General,Jack Nicholson regularly has courtside seats for which NBA team's home games?,LA Lakers,Sacramento Kings,Golden State Warriors,LA Clippers
31,952,28,Sport - US - Basketball General,Boomer is the mascot of which NBA Team?,Detroit Pistons,Cleveland Cavaliers,NY Knicks,Atlanta Hawks
32,882,30,Reality TV,Who is the original host of 'America’s Next Top Model'?,Tyra Banks,Naomi Campbell,Kate Moss,Lily Cole
33,844,29,Cartoons,What type of animal is Arthur in the cartoon tv series?,Aardvark,Rabbit,Bear,Dog
34,96,4,Famous Authors,Which TV presenter wrote The Thursday Murder Club?,Richard Osman,Piers Morgan,Phillip Schofield,Sandi Toksvig
35,1049,24,Chemistry,"In 2009, 13 years after it was first discovered, what name was given to chemical element 112 in the Periodic Table?",Copernicium,Herchellium,Galileum,Rutherfordium
36,1066,19,Board Games,"In Risk, how many countries make up the world?",42,50,25,64
37,1775,3,Lord of the Rings,Who was the screenwriter for the second movie in the 'Lord of the Rings' series?,Stephen Sinclair,Danny Mulheron,Tim Balme,Anthony McCarten
38,751,26,Astronomy & Space & Planets,What is the largest planet in the solar system?,Jupiter,Earth,Venus,Uranus
39,1248,4,Famous Authors,"The True Born Englishman, (1701,) was the first success for which author?",Daniel Defoe,George Eliot,Thomas Hardy,Charles Dickens
40,1407,6,Car Parts,What type of wheel does the clutch bite onto?,Fly,Mouse,Rat,Lizard
41,652,22,Classical Music,The Adelburgh Festival is associated with which Classical Composer?,Britten,Wagner,Mozart,Holst
42,881,30,Reality TV,How many seasons did the hit Reality TV Show 'Jersey Shore' run for?,6,10,2,1
43,1101,21,Classic Rock,In which year were Led Zeppelin formed?,1968,1964,1960,1972
44,1746,28,Sport - US - Basketball General,Who was nicknamed 'The Truth'?,Paul Pierce,Antoine Walker,Ray Allen,Larry Bird
45,1141,15,Cities,Morro Castle is a tourist attraction in which of these capital cities?,Havana,Lima,Bunes Aires,Madrid
46,1170,29,Cartoons,"Produced by Sam Raimi, and set in the fictional town of Trinity, which of these was a ‘90s TV horror series?",American Gothic,In Living Color,"Eerie, Indiana",Mad About You
47,1621,27,Sport - General - World Cup (Soccer),Which player was the captain of the winning Germany team at the 1990 World Cup?,Lothar Matthäus,Rudi Völler,Andreas Möller,Jürgen Kohler
48,1164,21,Classic Rock,Pearl Jam were founded in what decade?,1990's,1980's,2000's,1970's
49,1685,10,Directors,Which was the last of these Woody Allen movies to be released?,Bullets Over Broadway,Annie Hall,Sleeper,Hannah and Her Sisters
50,609,21,Classic Rock,Peter Gabriel was the front man of which popular classic rock band?,Genesis,Exodus,Leviticus,Numbers
51,1415,17,Greek Mythology,What was the Ancient Greek legal term to describe the city and surrounding area?,Polis,Trollies,Mollies,Collis
52,56,2,Children’s Literature,"In Rudyard Kipling's ""The Jungle Book"", Mang was which type of creature?",Bat,Chimpanzee,Mongoose,Porcupine
53,1457,4,Famous Authors,Which author created the character Leopold Bloom?,James Joyce,John Updike,Jack Kerouac,Franz Kafka
54,1060,1,History of Art,"In Italian Renaissance art, what is a 'putto'?",Naked cherub,A small canvas,Sculpted cup,Statue of a woman
55,1406,12,Japanese Cuisine,What type of tea are wagashi sweets often served with?,Green,Black,Sweet,Vanilla
56,182,7,Comics,The largest comic book market in the world is in which country?,Japan,UK,Russia,South Korea
57,127,5,Electronics,Which company makes the Xbox console?,Microsoft,Sony,Apple,Google
58,1610,27,Sport - General - World Cup (Soccer),Which player scored the winning goal for Germany against France in the 2014 World Cup quarter-finals?,Mats Hummels,André Schürrle,Julian Draxler,Mesut Özil
59,748,25,Biology,A clear liquid that contains white blood cells is known as?,Lymph,Zygote,Renal,Pupa
60,90,3,Lord of the Rings,In 'Lord of the Rings' who does Sam marry?,Rosie Cotton,Treebeard,Gondor,Faramir
61,243,9,Musicals,"Which theater musical is about the rock 'n' roll Queen, born Anna Mae Bullock in Nutbush, Tennessee?",Tina: The Tina Turner Musical,The Bodyguard,Funny Girl,Chicago
62,1481,1,History of Art,Which city is generally held to be the cradle of the Renaissance around the 15th century?,Florence,Athens,Rome,London
63,1268,6,Car Parts,What are hoses in the engine typically made of?,Rubber,Metal,Plastic,Glass
64,904,17,Greek Mythology,"""Eureka"" is a phrase most closely associated with which Greek figure?",Archimedes,Plato,Aristotle,Socrates
65,711,24,Chemistry,What was the first artificial element to be added to the periodic table?,Technetium,Californium,Lawrencium,Tennessine
66,733,25,Biology,Insects make up what percentage of the world's animals?,80,20,10,50
67,445,15,Cities,Boise is the capital city of which American state?,Idaho,New Jersey,Nevada,Louisiana
68,688,23,US Presidents,"On what did the 'Corn Laws' of 1804, impose a heavy tax?",Imported corn,Wasted corn,Exported corn,Cornfalkes
69,1341,24,Chemistry,What is the chemical symbol for Lawrencium?,Lr,Lw,Ln,La
70,1552,15,Cities,Which of these capital cities has a famous shopping street called Oxford Street?,London,Paris,Wellington,Washington DC
71,1347,6,Car Parts,What is the name for a curved strip designed to protect the car from dirt on the road?,Mudguard,Dirtguard,Muckguard,Filthguard
72,673,23,US Presidents,In which decade did Tony Blair first become Prime Minister?,1990s,2000s,1980s,1970s
73,510,17,Greek Mythology,Where was Icarus trying to escape from when he set off on his fateful flight?,Crete,Cyprus,Corfu,Corinth
74,1747,28,Sport - US - Basketball General,Who was nicknamed the Chairman of the Board?,Moses Malone,Dennis Rodman,Karl Malone,Allen Iverson
75,108,4,Famous Authors,Who wrote Lady Chatterley's Lover?,D.H. Lawrence,J.B. Priestley,J.K. Rowling,E.E. Cummings
76,1197,17,Greek Mythology,"Thales, the famous Greek philosopher, came from which area?",Miletus,Crete,Cyprus,Athens
77,926,22,Classical Music,After which planet is Mozarts Symphony No.41 named?,Jupiter,Mars,Uranus,Saturn
78,998,26,Astronomy & Space & Planets,High energy radiation from outside the solar system iis commonly called what?,Cosmic rays,Cosmic fusion,Cosmic Stars,Cosmic novas
79,431,15,Cities,In which country is the city of Innsbruck?,Austria,Poland,Germany,Spain
80,1303,20,Mathematics,What is 27 take away 8?,19,9,11,17
81,206,7,Comics,What was the name of secret society that trained the vigilante known as 'Azrael'?,Order of Saint Dumas,Children of Azrael,The Hand,Ministry of Darkness
82,149,5,Electronics,What is a tiny storage flash memory device that can be used through a USB connector?,USB Flash Drive,DVD-R,Floppy Disk,Diary
83,702,24,Chemistry,Metals can be extracted using which of these processes?,Electrolysis,Blending,Splicing,Blasting
84,511,18,Beauty & Health,The most common cause of sinusitis in adults is?,Viral,Bacterial,Fungal,Unknown
85,440,15,Cities,In which continent is the capital city of Montevideo?,South America,Oceania,Africa,Europe
86,347,12,Japanese Cuisine,"Hishi mochi, a celebratory rice cake for Girls Day, has how many separate layers?",3,5,7,9
87,1768,23,US Presidents,Who was the first US president to formally transfer presidential authority to his vice-president while he underwent surgery?,Ronald Reagan,George H W Bush,George W Bush,Bill Clinton
88,587,20,Mathematics,"What follows 0,1,1,2,3,5,8 in the Fibonacci sequence?",13,17,11,18
89,346,12,Japanese Cuisine,Ehomaki sushi rolls contain how many ingredients and are thought to bring luck?,7,5,3,10
90,1189,26,Astronomy & Space & Planets,Sunspots are what compared to normal areas on the surface of the sun?,Cooler,Shorter,Taller,Hotter
91,918,25,Biology,A mouse is what type of animal?,Rodent,Marsupial,Dinosaur,Bird
92,1196,12,Japanese Cuisine,Tentsuyu is a dipping sauce seved with which sorts of dishes?,Tempura,Yakitori,Sushi,Pancakes
93,1351,12,Japanese Cuisine,What is the name for thick Japanese noodles made from wheat flour?,Udon,Unagi,Umami,Uraki
94,345,12,Japanese Cuisine,Tempura dishes were traditionally cooked in which sort of oil?,Sesame,Vegetable,Olive,Butter
95,1604,27,Sport - General - World Cup (Soccer),Which player scored the game winning goal for Germany against Argentina in the 2014 World Cup final?,Mario Götze,Lukas Podolski,Philipp Lahm,Miroslav Klose
96,1528,16,Landmarks & Monuments,Which ocean lies east of the continental USA?,Atlantic,Pacific,Indian,Arctic
97,480,16,Landmarks & Monuments,"What is Angkor Wat, one of Cambodia's most famous landmarks?",Temple,Tower,Bridge,Lighthouse
98,1416,26,Astronomy & Space & Planets,What was the first artificial satellite to be launched in to space by the USSR?,Sputnik 1,Viking 1,Apollo 1,Explorer 1
99,1260,23,US Presidents,"Two US presidents have been impeached, though both were acquitted. Bill Clinton was one - who was the other?",Andrew Johnson,Ulysses S Grant,Rutherford B Hayes,James Buchanan
100,831,28,Sport - US - Basketball General,In what city do the Hawks play NBA basketball?,Atlanta,Miami,Orlando,Boston
101,696,24,Chemistry,How can calcium carbonate be decomposed?,Heat,Pressure,Cold,Dryness
102,1796,3,Lord of the Rings,"What ""drowns out all but the brightest stars?"" according to Lord of the Rings?",Moonlight,Sunshine,Fear,Darkness
103,623,21,Classic Rock,How old was Jim Morrison when he died of heart failure?,27,28,29,30
104,247,9,Musicals,What is the name of the 2018 musical - drama film about Queen and Freddie Mercury?,Bohemian Rhapsody,We Will Rock You,Radio Gaga,Under Pressure
105,1456,1,History of Art,Which artist helped Donatello sculpt 'David'?,Nanni di Banco,Leone Battista Alberti,Brunelleschi,Giotto
106,1403,6,Car Parts,What type of rings keep the combustion chamber sealed?,Piston,Distributor,Plastic,Fuel
107,813,28,Sport - US - Basketball General,How many MVP awards did Wilt Chamberlain and Bill Russell collectively win in the 1960s?,8,10,4,6
108,616,21,Classic Rock,What is the name of Iron Maiden's mascot?,Eddie,Snaggletooth,Not Man,Vic Rattlehead
109,26,1,History of Art,"Who painted ""The Hay Wain"", ""Dedham Vale"" and ""Wivenhoe Park""?",Constable,Turner,Hockney,Bacon
110,1516,17,Greek Mythology,Which lawmaker gave his names ti a set of Greek Laws enacted in 624 BC?,Draco,Solon,Archon,Hippias
111,1286,6,Car Parts,What do Americans call the bonnet of a car?,Hood,Bumper,Trunk,Gas
112,1000,25,Biology,How do new species evolve?,Natural Selection,Natural choosing,Natural finding,Natural discovery
113,296,10,Directors,Which of these won the Best Director Oscar EARLIER than the others?,Milos Foreman,Woody Allen,Warren Beatty,Oliver Stone
114,240,8,Video Games,EVE Online is a MMORPG Based on which theme?,Science fiction,World War II,Classic Wars,Medieval Times
115,1095,14,Decades 1980s,In which month of 1981 did Charles and Di marry?,July,June,May,April
116,1263,22,Classical Music,Vannesa-Mae found fame playing which musical instrument?,Violin,Piano,Guitar,Flute
117,732,25,Biology,The amount of mineral matter per square centimeter of bones is known as what?,Bone density,Bone distance,Bone diameter,Bone deepness
118,449,15,Cities,Damascus is the capital city of which Middle Eastern country?,Syria,Jordan,Libya,Saudi Arabia
119,1045,2,Children’s Literature,"In 'The Emperor's New Clothes', who was it that told the Emperor he was really naked?",A child,A drunk,A priest,His friend
120,32,2,Children’s Literature,Who created Winnie-the-Pooh?,A.A. Milne,C.S. Lewis,Lewis Carroll,Edward Lear
121,1542,8,Video Games,Which of the following is not a 'Call Of Duty' game?,Global Conflict',Modern Warfare',Ghosts',World At War'
122,668,23,US Presidents,In which city was Bobby Kennedy assassinated in 1968?,Los Angeles,New York,San Francisco,New Orleans
123,544,19,Board Games,World domination is the goal of which military themed board game?,Risk,Danger,Peril,Fear
124,1673,23,US Presidents,Which US President was assassinated by Leon Czolgosz?,William McKinley,James Garfield,John F Kennedy,Abraham Lincoln
125,288,10,Directors,Who directed Star Wars Episode V: The Empire Strikes Back?,Irvin Kershner,George Lucas,Richard Marquand,Steven Spielberg
126,662,23,US Presidents,"At only 5ft 4in tall, who was the smallest US President?",James Madison,Calvin Coolidge,William Taft,James Polk
127,879,30,Reality TV,"Which Reality TV Show features the immortal line ""You’re Fired""?",The Apprentice,X-Factor,Hell’s Kitchen,Kitchen Nightmares
128,258,9,Musicals,What is the name of the lead character played by Hugh Jackman in The Greatest Showman?,P.T. Barnham,P.T Barnman,P.B. Barnham,P.G. Barnham
129,78,3,Lord of the Rings,What is unusual about hobbits' feet?,They're Furry,No Toes,Very Smelly,Bright Blue
130,1134,14,Decades 1980s,Margaret Thatcher was UK Prime Minister for all of the '80s. Which party was she in?,Conservatives,Labor,Liberal Democrats,Green
131,1198,7,Comics,The 'Batgirl' is the daughter of which comic book character?,Commissioner Gordon,Bruce Wayne,Alfred Pennyworth,Jack Napier
132,546,19,Board Games,Cities and Knights and Seafarers are expansions of which popular board game?,Catan,Monopoly,Chess,Go
133,630,21,Classic Rock,Which classic rock band has the longest running fan club according to The Guinness Book of Records?,Queen,Aerosmith,Black Sabbath,Foo Fighters
134,1595,25,Biology,Which organ in the human body pumps blood around the body?,Heart,Liver,Kidney,Lungs
135,937,18,Beauty & Health,Approximately how many feet long is the small intestine?,20-22 Feet,22-24 Feet,25-27 Feet,16-18 Feet
136,1185,18,Beauty & Health,SIDS is known in the UK as what?,Cot Death,Pram Death,Bath Death,Potty Death
137,1252,21,Classic Rock,Thin Lizzy were formed in which country?,Ireland,England,Wales,Scotland
138,1151,14,Decades 1980s,"Of these, which was President of Mexico in the '80s? ",Miguel de la Madrid,Enrique Peña Nieto,Felipe Calderón,Vicente Fox
139,913,20,Mathematics,4(3x + 3) - (x + 5)= 92,x=9,x=3,x=4,x=11
140,81,3,Lord of the Rings,Who composed the music for The Lord Of The Rings film trilogy?,Howard Shore,James Horner,Murray Gold,John Williams
141,1149,29,Cartoons,NYPD Blue was a hit police show about which fictional precinct in Manhattan?,15th,10th,5th,1st
142,818,28,Sport - US - Basketball General,In what year did Women's basketball make its appearance in the Olympic games?,1976,1980,1972,1984
143,1253,30,Reality TV,This show was a homage to the 1985 Michael J Fox film?,Teen Wolf',Teen Cat,Teen Dog,Teen Snake
144,1492,24,Chemistry,Which element comes between Mendelevium and Lawrencium in the Periodic Table?,Nobelium,Americium,Californium,Einsteinium
145,30,1,History of Art,In which year did Andy Warhol exhibit his famous paintings of soup cans?,1962,1967,1973,1955
146,507,17,Greek Mythology,Which of the following is the oldest of the Greek schools of architecture?,Doric,Ionic,Corinthian,Tuscan
147,719,24,Chemistry,What is the only element where isotopes are given specific names?,Hydrogen,Oxygen,Helium,Carbon
148,1601,5,Electronics,Which piece of household equipment contains a magnetron?,Microwave,Refrigerator,Digital Radio,Video Cassette Recorder
149,1439,1,History of Art,"Where is the giant copper statue of a man, woman and child,  known as the African Renaissance monument, that was unveiled in April 2010?","Dakar, Senegal","Lusaka, Zambia","Harare, Zimbabwe","Kampala, Uganda"
150,43,2,Children’s Literature,Who is the central character in Maurice Sendak's Where The Wild Things Are?,Max,Joe,Tim,Bob
151,1096,9,Musicals,"In which musical do we hear, ""Are you just going to stand there all day?"" ",Grease,The Sound of Music,High School The Musical,South Park
152,1687,11,Films Released in 1930s-1950s,Which western US city is 'Saboteur' (1942) set?,Los Angeles,Dallas,Albuquerque,Nashville
153,1205,30,Reality TV,The Big Bang Theory TV show premiered in which year?,2007,2005,2009,2011
154,412,14,Decades 1980s,"Where did Janet, Chrissy, and Jack live on the show Three's Company?",Santa Monica,San Diego,Costa Mesa,Los Angeles
155,202,7,Comics,Batman first appeared in comic book Detective Comics in which year?,1939,1972,1880,2003
156,1649,11,Films Released in 1930s-1950s,Which South American city does Alicia Huberman spy on her fathers friends in 'Notorious' (1946)?,Rio de Janeiro,Caracas,Boa Vista,Santa Cruz de la Sierra
157,1358,18,Beauty & Health,What is the name of the drug a dentist uses to numb the mouth?,Novocaine,Movocaine,Povocaine,Lovocaine
158,907,8,Video Games,"""Splatoon 2"" is a team shooter game for which console?",Nintendo Switch,Xbox One,Wii,Playstation 2
159,361,13,Brazilian Cuisine,"The preparation of Barreado is still in use today, but how far back does it date back to?",300 Years,100 Years,1000 Years,4000 Years
160,577,20,Mathematics,A truck was able to transport 36 pallets at a time. How many journeys would it have to make in order to deliver 288 pallets?,8,9,7,6
161,1784,7,Comics,Whose assassination led to the future ruled by Apocalypse where mutants were hunted?,Senator Kelly's,Professor X's,Magneto's,Mystique's
162,473,16,Landmarks & Monuments,The Petronas Towers are in which country?,Malaysia,Thailand,Japan,China
163,1308,19,Board Games,What is a 'prime' in the game of Backgammon?,A group of six consecutive points which are blocked by two or more checkers per point,A point which is completely empty on the board,The end of a Backgammon game,An opening dice roll of double fives
164,1701,5,Electronics,Who co-founded 'Microsoft' with Paul Allen?,Bill Gates,Bill Clinton,Charles Babbage,Christina Applegate
165,1643,16,Landmarks & Monuments,Which river runs through the Grand Canyon?,Colorado River,Missouri River,Mississippi River,Rio Grande
166,635,22,Classical Music,How many strings are there on a double bass?,4,3,2,6
167,560,19,Board Games,The board game Ludo was patented in 1896 in which country?,UK,Kuwait,Vietnam,France
168,1576,5,Electronics,Which of these kitchen appliances first saw the light of day in 1945?,Microwave,Hand whisk,Saucepan,Chopping board
169,366,13,Brazilian Cuisine,Coxinha is a dish varying in different sizes. Which state is it originally from?,Sao Paulo,Acre,Amapa,Piaui
170,465,16,Landmarks & Monuments,"In metres, how tall is Mount Everest?","8,800 metres","12,900 metres","1,600 metres",300 metres
171,105,4,Famous Authors,How many of the Brontë sisters published fiction?,Three,Two,Four,Five
172,1700,14,Decades 1980s,Who became the head of Ghana on New Year's Eve 1981?,Jerry Rawlings,John Atta Mills,John Kufuor,Kwame Nkrumah
173,279,10,Directors,"Who directed Edward Scissorhands, Sleepy Hollow and Dark Shadows?",Tim Burton,Stanley Kubrick,Peter Jackson,Kenneth Branagh
174,665,23,US Presidents,How many times was Franklin D Roosevelt elected as US President?,Four,Three,Five,Two
175,670,23,US Presidents,Bill Clinton famously played which musical instrument?,Saxaphone,Tuba,Guitar,Violin
176,775,26,Astronomy & Space & Planets,"The words ""A long time ago in a galaxy far, far away..."" begin which film?",Star Wars Episode IV,Armageddon,The Martian,Moon
177,1684,14,Decades 1980s,Which war were the United States active in between 1983?,Invasion in Grenada,Korean War,War in Somalia,First Indochina War
178,693,24,Chemistry,Which two letters indicate a measure of the acidity or basicity of a substance?,pH,xO,kP,oG
179,1376,12,Japanese Cuisine,"What is tsukemono, as a side dish accompanying a meal?",Pickles,Fried Potatoes,Soup,Chicken Wings
180,1310,20,Mathematics,What is a sixth of 78?,13,15,14,16
181,1165,25,Biology,Pelicans have long what?,Beaks,Toes,Horns,Legs
182,728,25,Biology,The macaque is what type of animal?,Monkey,Cow,Sheep,Goat
183,1445,9,Musicals,Which 1960 Lionel Bart musical is based on a Dickens story?,Blitz!,Fings Ain't Wot They Used T'Be,Maggie May,Oliver!
184,1258,12,Japanese Cuisine,Tsukemono is vegetables preserved in which way?,Pickling,Freezing,Smoking,Drying
185,102,4,Famous Authors,Which was the first James Bond book to be published?,Casino Royale,Goldfinger,The Spy Who Loved Me,Diamonds Are Forever
186,39,2,Children’s Literature,Eric Carle wrote about what very hungry animal?,Caterpillar,Cockroach,Camel,Cow
187,996,6,Car Parts,Halogen is most often associated with which part of a car?,Lights,Ignition,Fuel,Tyres
188,1585,28,Sport - US - Basketball General,Which of these teams play at the Little Caesar Arena?,Detroit Pistons,Cleveland Cavaliers,NY Knicks,Atlanta Hawks
189,161,6,Car Parts,The typical symbol for hazard warning lights on your dashboard is a red what?,Triangle,Square,Circle,Oblong
190,1563,29,Cartoons,Which of these Hanna Barbera cartoons only lasted for 13 episodes?,Inch High Private Eye,Hong Kong Phooey,The Flintstones,Wacky Races
191,902,19,Board Games,"""Bananagrams"" is what type of game?",Word Based Board Game,PS4 Game,App Game,Online Game
192,1204,1,History of Art,The best known graffiti artist in the world has what name?,Banksy,Bunks,Bunksy,Benxi
193,1749,23,US Presidents,Who was President at the time of the US Centennial celebrations in 1876?,Ulysses S Grant,Andrew Johnson,Rutherford B Hayes,Chester Arthur
194,1599,1,History of Art,"Which P is the first name of the British artist Blake, designer of the 'Sergeant Pepper' album cover?",Peter,Patrick,Percy,Peregrine
195,764,26,Astronomy & Space & Planets,What is the title of the BBC TV factual space series that's been running since 1957?,The Sky At Night,The Man In The Moon,Stars In Their Eyes,Space Jam
196,799,27,Sport - General - World Cup (Soccer),How many World Cup appearances Switzerland has?,11,9,6,2
197,1736,7,Comics,Who played the title role in the 'Iron Man' trilogy of films?,"Robert Downey, Jr.",Mickey Rourke,Hugh Jackman,"Antonio Sabato, Jr."
198,1005,13,Brazilian Cuisine,How is Bolo de Banana cooked?,Baked,Fried,Frozen,Smoked
199,432,15,Cities,Flemish is an official language in which country?,Belgium,France,Netherlands,Sweden
200,969,8,Video Games,Doom' is considered what type of video game?,First Person Shooter,Tower Defense,Endless Runner,Platform Game
201,1227,16,Landmarks & Monuments,The Grand Canyon lies in which US state?,Arizona,New Mexico,Texas,Nevada
202,1112,21,Classic Rock,John Bonham was the drummer with which band?,Led Zeppelin,Thin Lizzy,Iron Maiden,U2
203,246,9,Musicals,Hugh Jackman stars in which 2016 film musical about the story of P.T. Barnham?,The Greatest Showman,The Awesome Showman,The Good Showman,The Awful Showman
204,340,12,Japanese Cuisine,The sushi dish of tekkamaki rolls is made using which fish?,Tuna,Salmon,Octopus,Hake
205,779,26,Astronomy & Space & Planets,The Tianwen mission to Mars launched in July 2020 from which country?,China,India,Japan,Mongolia
206,1004,22,Classical Music,How is Beethovens 3rd Symphony better known?,Eroica,Choral,Summer,Leningrad
207,391,14,Decades 1980s,"Who won the Academy Award for Best Actor in 1988, playing Raymond Babbitt in Rain Man?",Dustin Hoffman,Michael Douglas,Tom Cruise,Art Carney
208,716,24,Chemistry,In which year was the element Californium discovered?,1950,1970,1990,1920
209,1432,29,Cartoons,When did 90's show Ally McBeale first broadcast,1997,1996,1998,1999
210,1162,29,Cartoons,Party of Five was set in which city?,San Francisco,LA,New York,Dallas
211,1635,23,US Presidents,Which president appointed Sandra Day O'Connor as the first female Associate Justice of the Supreme Court?,Ronald Reagan,Jimmy Carter,George H W Bush,Bill Clinton
212,1048,7,Comics,"In 2008's Ironman, Tony Stark invents the Ironman suit in order to",Escape his kidnappers,Fight injustice,To sell it,Stop global warming
213,94,4,Famous Authors,Who created the character Bridget Jones?,Helen Fielding,Marian Keyes,Joanne Harris,Jenny Colgan
214,167,6,Car Parts,What is the name of the part which the brake pads fit on to?,Calliper,Bracket,Linkage,Flange
215,1238,4,Famous Authors,The Prime of Miss Jean Brodie is a work by which author?,Muriel Spark,JKRowling,Emily Bronte,Jane Austen
216,513,18,Beauty & Health,What is the most popular slimming club in the UK?,Slimming World,Weight Watchers,Lighter Life,Slim Fast
217,1510,26,Astronomy & Space & Planets,Which is the coldest planet in the solar system in terms of average surface temperature?,Uranus,Neptune,Jupiter,Saturn
218,1140,30,Reality TV,Morena Baccerin plays Jessica on which TV series?,Homeland,Game of Thrones,Mad Men,Family Guy
219,596,20,Mathematics,Which type of mathematics involves derivatives and integrals?,Calculus,Statistics,Geometry,Arithmetic
220,875,30,Reality TV,Who was the host of the first season of 'American Idol'?,Ryan Seacrest,Steve Jones,Jimmy Kimmel,Piers Morgan
221,651,22,Classical Music,"The ""Well Tempered Clavier"" is a work by which composer?",Bach,Brahms,Mozart,Handel
222,1274,6,Car Parts,What colour are brake lights?,Red,Orange,Clear,Blue
223,1657,28,Sport - US - Basketball General,Which team had a former name that included the name Fort Wayne?,Detroit Pistons,Cleveland Cavaliers,NY Knicks,Atlanta Hawks
224,976,2,Children’s Literature,"Famous for their fairy tales, what nationality were the Brothers Grimm?",German,Danish,Dutch,Swiss
225,682,23,US Presidents,In which year was US President Bill Clinton born?,1946,1935,1940,1951
226,812,28,Sport - US - Basketball General,Current number 54 Stretch Middleton ranks where in the tallest Harlem Globetrotters?,3rd,1st,4th,2nd
227,1373,7,Comics,What is the secret identity of Steve Rogers?,Captain America,Captain Marvel,Ironman,Batman
228,349,12,Japanese Cuisine,There are how many different categories of Japanese soy sauce?,5,7,9,11
229,582,20,Mathematics,What is the name for the longest side on a right-angled triangle?,Hypotenuse,Diameter,Radius,Circumference
230,356,12,Japanese Cuisine,Fish shaped cakes called Taiyaki became popular in which decade after the release of a famous children's song?,1970s,1980s,1990s,1920s
231,1435,24,Chemistry,When was the element rutherfordium discovered?,1969,1971,1973,1975
